N,종목명,현재가,전일비,등락률,액면가,고가,저가,ROA
118.0,KODEX 종합채권(AA-이상)액티브,104485.0,65.0,+0.06%,0.0,104715.0,104300.0,
119.0,LG화학우,322000.0,14500.0,+4.72%,5000.0,323000.0,307000.0,
120.0,한전기술,63400.0,800.0,+1.28%,200.0,64000.0,62800.0,2.34
121.0,서울가스,473500.0,0.0,0.00%,5000.0,478500.0,470500.0,0.51
122.0,휠라홀딩스,38900.0,500.0,-1.27%,1000.0,39500.0,38150.0,8.4
123.0,제일기획,20500.0,50.0,+0.24%,200.0,20600.0,20350.0,7.01
124.0,코스모신소재,76600.0,6800.0,+9.74%,1000.0,79500.0,69800.0,5.06
125.0,CJ,80300.0,0.0,0.00%,5000.0,81300.0,80200.0,1.97
126.0,동원산업,45900.0,900.0,+2.00%,1000.0,46000.0,45000.0,5.57
127.0,현대차우,93900.0,1900.0,+2.07%,5000.0,94100.0,92000.0,
128.0,DB하이텍,51400.0,4750.0,+10.18%,5000.0,51400.0,47200.0,23.23
129.0,OCI,95400.0,2400.0,+2.58%,5000.0,95400.0,93800.0,12.86
130.0,두산퓨얼셀,34450.0,1150.0,+3.45%,100.0,34950.0,33800.0,1.17
131.0,HL만도,47650.0,1350.0,+2.92%,1000.0,48450.0,46600.0,3.36
132.0,TIGER 미국나스닥100,73070.0,1340.0,+1.87%,0.0,73280.0,72905.0,
133.0,에스원,57800.0,700.0,+1.23%,500.0,58000.0,57100.0,6.65
134.0,BNK금융지주,6690.0,90.0,-1.33%,5000.0,6830.0,6670.0,0.69
135.0,농심,357000.0,0.0,0.00%,5000.0,361000.0,350500.0,3.54
136.0,한화생명,2500.0,5.0,-0.20%,5000.0,2550.0,2495.0,0.8
137.0,TIGER MSCI Korea TR,13645.0,225.0,+1.68%,0.0,13660.0,13515.0,
138.0,한미사이언스,30900.0,350.0,+1.15%,500.0,31400.0,30650.0,4.59
139.0,LS,66800.0,700.0,+1.06%,5000.0,67000.0,65900.0,2.9
140.0,한화,28350.0,300.0,+1.07%,5000.0,28600.0,28100.0,1.1
141.0,KCC,238500.0,6500.0,+2.80%,5000.0,242500.0,234500.0,-0.42
142.0,KODEX 레버리지,15610.0,600.0,+4.00%,0.0,15670.0,15190.0,
143.0,신세계,209500.0,500.0,+0.24%,5000.0,211000.0,208500.0,2.94
144.0,KODEX 200TR,11020.0,210.0,+1.94%,0.0,11045.0,10835.0,
145.0,동서,20400.0,400.0,+2.00%,500.0,20800.0,20000.0,7.41
146.0,영원무역,44950.0,1150.0,+2.63%,500.0,45500.0,43700.0,10.15
147.0,삼천리,475500.0,2000.0,-0.42%,5000.0,480000.0,472500.0,1.76
148.0,효성티앤씨,445500.0,21000.0,+4.95%,5000.0,446000.0,425000.0,27.42
149.0,CJ대한통운,84100.0,600.0,+0.72%,5000.0,84800.0,83700.0,1.7
